player_id,recent_team,season,week,passing_epa,season_type,completions,interceptions,passing_tds,attempts,sacks,passing_yards
00-0031800,ATL,2023,16,7.642198999814564,REG,23,0,1,33,1,229
00-0031800,ATL,2023,17,-6.314528683457766,REG,10,3,1,29,2,163
00-0032156,NYJ,2023,13,-7.564943343139021,REG,5,0,0,13,3,66
00-0032156,NYJ,2023,15,-9.411222703638487,REG,14,2,0,26,2,110
00-0032156,NYJ,2023,16,-15.972939805726302,REG,27,1,1,49,0,217
00-0032156,NYJ,2023,17,-10.637966791807788,REG,32,1,1,45,2,261
00-0032156,NYJ,2023,18,-11.007632592412083,REG,8,0,0,20,1,70
00-0032268,PHI,2023,13,-0.3476434804033488,REG,2,0,0,3,0,16
00-0032268,PHI,2023,18,-4.762452383960964,REG,13,1,1,20,3,148
00-0032436,CLE,2023,18,-10.957208045409061,REG,13,2,2,26,3,166
00-0032950,LA,2023,18,7.064853062212933,REG,17,1,2,24,2,163
00-0033077,DAL,2023,1,4.17848433913809,REG,13,0,0,24,0,143
00-0033077,DAL,2023,2,10.077872056186449,REG,31,0,2,38,1,255
00-0033077,DAL,2023,3,-3.659614854047325,REG,25,1,1,40,2,249
00-0033077,DAL,2023,4,3.933240894897108,REG,28,0,1,34,3,261
00-0033077,DAL,2023,5,-12.18878598313313,REG,14,3,1,24,3,153
00-0033077,DAL,2023,6,6.778182700220884,REG,21,0,1,30,5,272
00-0033077,DAL,2023,8,11.593556129590604,REG,25,1,4,31,3,304
00-0033077,DAL,2023,9,12.918436241445182,REG,29,0,3,44,5,374
00-0033077,DAL,2023,10,16.128327141632326,REG,26,1,4,35,0,404
00-0033077,DAL,2023,11,7.6395618677019,REG,25,0,2,38,0,189
00-0033077,DAL,2023,12,18.192239626375578,REG,22,0,4,32,0,331
00-0033077,DAL,2023,13,13.770497584657994,REG,29,0,3,41,4,299
00-0033077,DAL,2023,14,-0.054984303969386916,REG,24,0,2,39,3,271
00-0033077,DAL,2023,15,-12.449003155246528,REG,21,1,0,34,3,134
00-0033077,DAL,2023,16,8.432478624566755,REG,20,0,2,32,4,253
00-0033077,DAL,2023,17,11.299152896313498,REG,26,1,2,38,3,345
00-0033077,DAL,2023,18,22.099422981782563,REG,31,1,4,36,0,279
00-0033106,DET,2023,1,6.543756803672295,REG,22,0,1,35,1,253
00-0033106,DET,2023,2,8.152201352508701,REG,28,1,3,35,2,323
00-0033106,DET,2023,3,2.7206899089548573,REG,22,1,1,33,0,243
00-0033106,DET,2023,4,2.4591233149722904,REG,19,1,1,28,2,210
00-0033106,DET,2023,5,5.771698093274608,REG,20,0,3,28,2,236
00-0033106,DET,2023,6,17.925803287663015,REG,30,0,2,44,3,353
00-0033106,DET,2023,7,-12.379357203666586,REG,33,1,0,53,5,284
